id	bank_ch	site_ch	status	keyed	keyed_text	best	best_text	source	note	question
133	ar-7	ar-9, ar-11	CORRECTED (proposed, not applied)	C	Once every year in the month of April of each year	D	On as required basis	CAR Sec 9 Series I Pt I 6.3.1.1 ("AIP shall be amended or reissued at such regular intervals as may be necessary"); AIRAC 28-day cycle	keyed C (once a year in April) has no basis in the current CAR	Regular amendments to the AIP will be:
134	ar-10	ar-22, ar-25, ar-26	CONSISTENT (not document-checked)	A	Rising or falling			FAA knowledge-test doctrine (centrifugal force sensed as rising/falling)	no held source quotes it verbatim	Without visual aid, a pilot often interprets centrifugal force as a sensation of:
135	ar-9	ar-13	VERIFIED	B	Indian Air Space			AIP India ENR 1.1 10.9 ("Transonic and Supersonic phases of flight are not permitted over Indian airspace")		A flight , which exceeds Mach number-1 , cannot fly over:
136	ar-9	ar-13	VERIFIED	A	Send a radio message two hours before the arrival about the state of the health of the passenger			Aircraft (Public Health) Rules 1954 r.3 and r.10(2) (health report must state persons from a yellow fever infected area; sent not less than 2 h out)		A passenger visited a yellow fever infected area on the previous six days, but is not in possession of valid yellow fever certificate, then action taken by PIC of the flight is:
137	ar-10	ar-22, ar-25, ar-26	VERIFIED	A	Pilot disorientation			FAA AIM 8-1 (Coriolis illusion from abrupt head movement)		Abrupt head movement during a prolonged constant rate turn in IMC or simulated instrument condition can cause:
138	ar-6	ar-4	VERIFIED	C	Class F in applicable to airspace outside CTAs/TMAs/CTRs/ATZs			AIP India ENR 1.4 (Class F is designated ATS route segment outside CAS - C is the incorrect statement)		Which of the following statements is not correct for classification of Airspace in ?
139	ar-10	ar-22, ar-25, ar-26	VERIFIED	A	Tumbling backwards			FAA AIM 8-1 (illusion of tumbling backwards)		An abrupt change from climb to straight and level flight can create the illusion of:
140	ar-10	ar-22, ar-25, ar-26	VERIFIED	B	Being in a nose up attitude			FAA AIM 8-1 (illusion of nose-up attitude)		A rapid acceleration during takeoff can create the illusion of:
141	ar-6	ar-4	VERIFIED	B	An incident			Aircraft Rules r.3 def. incident (b) forced landing		A Cessna 152 aircraft force lands at a wheat field due to shortage of fuel. It will be reported as:
142	ar-1	ar-1	VERIFIED	B	Stop bar which is lighted			Annex 2 3.2.2.7.3 (stop and hold at lighted stop bars)		A pilot should never cross a:
143	ar-9	ar-13	FLAGGED	C	Number of landings			CAR Sec 7 J Pt III 14.2 (base training: 18+2 landings)	current CAR does restrict landings; keyed C is outdated - no option correct	FDTL for training flights does not restrict:
144	ar-10	ar-22, ar-25, ar-26	VERIFIED	B	Steeper			HPL textbook, Black Hole Effect (illusion of being too high - approach appears steep)		For a flight at night in VMC, the approach will appear to be
145	ar-4	ar-7, ar-12	VERIFIED	C	Precision Approaches			PANS-OPS (Captain's notes Ch.12) / Annex 6 def. DA/H - 3D (precision) approach		Decision Altitude is applicable for:
146	ar-9	ar-13	VERIFIED	A	DGCA			Aircraft Rules r.24B		Prisoners on Board an aircraft can be carried with the permission of
147	ar-9	ar-13	VERIFIED	D	all flight crew personnel			CAR Sec 7 J Pt III 2.1 (flight crew members)		Flight time/flight duty time limitations shall be applicable to:
148	ar-10	ar-22, ar-25, ar-26	VERIFIED	A	Dizziness			FAA AIM 8-1 (CO: dizziness)		Large accumulation of carbon mono-oxide in the blood results in:
149	ar-7	ar-9, ar-11	VERIFIED	C	AIP			AIP India GEN 3.1 "Differences ... are published in GEN 1.7"		Deviations from International Standards and recommended practices are published in:
150	ar-7	ar-9, ar-11	VERIFIED	C	AIP			AIP (AD 2 operational hours)		To find current watch hours of a station you should look into:
151	ar-9	ar-13	VERIFIED	C	If C of A states so			CAR Sec 2 Series X Pt VII (Flight Manual among documents carried on board)	keyed C ("if C of A states so") is historical wording; current CAR lists the Flight Manual as a carried document	Flight Manual is to be carried by
152	ar-5	ar-5, ar-6, ar-8	VERIFIED	C	0427 hrs			as #23		Q24R. An aircraft is on a track of 030º (M) and reports crossing a point at 0412 Hrs at F370. Other aircraft at F370 on a track of 100º(M) can cross the same point not earlier than:
153	ar-5	ar-5, ar-6, ar-8	VERIFIED	C	0225 hrs			as #24		Q25R. An ac at F390 crosses a point at 0210 hrs wishes to descent to F310. There is reciprocal traffic estimating to cross same point at 0300hrs maintaining F 330. By what time the descending aircraft should reach F310 if both aircraft maintain same speed?
154	ar-4	ar-7, ar-12	VERIFIED	C	Both MDA and DA			Doc 8168 via PANS-OPS (Air Law textbook ch.7-8 / Captain PANS-OPS notes): OCA/H is the basis of both DA/H and MDA/H		OCA is used for determination of:
155	ar-7	ar-9, ar-11	VERIFIED	C	090º and 270º magnetic			FAA AIM 2-3-3 (magnetic azimuth)		The numbers 09 and 27 on a runway indicate that the runway is oriented approximately
156	ar-6	ar-4	VERIFIED	B	should not cross the lines without ATC clearance			Annex 2 3.2.2.7.2 (stop and hold at runway-holding positions)		When approaching taxiway holding lines from the side with the continuous lines, the pilot
157	ar-7	ar-9, ar-11	VERIFIED	C	080º and 260º magnetic			FAA AIM 2-3-3		The numbers 08 and 26 on the approach ends of the runway is oriented approximately
158	ar-7	ar-9, ar-11	VERIFIED	C	Denotes intersecting runways			FAA AIM 2-3-8 (runway/runway holding position sign carries the designation of the intersecting runway); CAR Sec 4 Series B Pt I 5.4.2.3		What is the purpose of the runway/runway hold position sign?
159	ar-6	ar-4	VERIFIED	C	Developing lift			FAA AIM 7-4 (wake is a function of producing lift)		Wingtip vortices are created only when an aircraft is
160	ar-6	ar-4	VERIFIED	A	sink below the aircraft generating turbulence			FAA AIM 7-4 (vortices sink)		Wingtip vortices created by large aircraft tend to
161	ar-6	ar-4	VERIFIED	C	Outward, upward, and around each tip			FAA AIM 7-4 (outward, upward and around the wing tips)		How does the wake turbulence vortex circulate around each wingtip?
162	ar-6	ar-4	VERIFIED	C	Sink into the flight path of aircraft generating the turbulence			FAA AIM 7-4		When taking off or landing where heavy aircraft are operating, one should be particularly alert to the hazards of wingtip vortices because this turbulence tends to
163	ar-6	ar-4	VERIFIED	C	Heavy, clean and slow			FAA AIM 7-4		The greatest vortex strength occurs when the generating aircraft is
164	ar-6	ar-4	VERIFIED	B	above and upwind from the heavy aircraft			FAA AIM 7-4 (climb above the larger aircraft's path, upwind)		When departing behind a heavy aircraft, the pilot should avoid wake turbulence by maneuvering the aircraft
165	ar-6	ar-4	VERIFIED	A	Above the large aircraft’s final approach path and landing beyond the large aircraft’s touchdown point			FAA AIM 7-4		When landing behind a large aircraft, the pilot should avoid wake turbulence by staying
166	ar-3	ar-3	VERIFIED	A	The other aircraft is crossing to the left			14 CFR 25.1385 (red = left side)	you see his port side, so he is moving from your right to your left	During a night flight, you observe a steady red light and a flashing red light ahead and at the same altitude. What is the general direction of movement of the other aircraft?
167	ar-3	ar-3	VERIFIED	A	The other aircraft is flying away from you			14 CFR 25.1385(c)/25.1387(d) (white tail light, ±70° aft)		During a night flight, you observe steady white light and a flashing red light ahead and at the same altitude. What is the general direction of movement of the other aircraft?
168	ar-3	ar-3	VERIFIED	C	The other aircraft is approaching head-on			14 CFR 25.1385(b)	both wingtip lights visible only from ahead	During a night flight, you observe steady red and green lights ahead and at the same altitude. What is the general direction of movement of the other aircraft?
169	ar-10	ar-22, ar-25, ar-26	VERIFIED	C	peripheral vision by scanning small sectors and utilizing off center viewing			FAA AIM 8-1-6 / HPL textbook night vision (off-centre viewing)		The most effective method of scanning for other aircraft for collision avoidance during nighttime hours is to use
170	ar-3	ar-3	VERIFIED	C	There will be no apparent relative motion between your aircraft and the other aircraft			HPL textbook ch.10 "Collision and the retinal image" (line of constant bearing)		How can you determine if another aircraft is on a collision course with your aircraft?
171	ar-3	ar-3	VERIFIED	B	clear days			FAA AC 90-48C ("most MAC accidents and reported NMAC incidents occurred during good VFR weather conditions and during the hours of daylight")		Most midair collision accidents occur during
172	ar-10	ar-22, ar-25, ar-26	VERIFIED	C	620 hPa			CAR Sec 8 Series O Pt II 4.3.9.1 b) (all crew and passengers below 620 hPa)		Oxygen is to be carried for all crew members and passengers above a absolute pressure of:
173	ar-13	ar-18	VERIFIED	B	steady red			Annex 2 App 1 3.1		If the control tower uses a light signal to direct a pilot to give way to other aircraft and continue circling, the light will be
174	ar-7	ar-9, ar-11	VERIFIED	A	Flashing green			Annex 2 App 1 3.1 (flashing green on ground: cleared to taxi)		Which light signal from the control tower clears a pilot to taxi?
175	ar-13	ar-18	VERIFIED	B	exercise extreme caution			FAA AIM TBL 4-3-13 (alternating red and green: exercise extreme caution)		An alternating red and green light signal directed from the control tower to an aircraft in flight is a signal to
176	ar-13	ar-18	VERIFIED	A	Observe the traffic flow, enter the pattern, and look for a light signal from the tower			FAA AIM 4-2-13 (remain outside Class D until traffic flow determined, join pattern, watch for light signals)		If the aircraft’s radio fails, what is the recommended procedure when landing at a controlled airport?
177	ar-8	ar-19, ar-21	VERIFIED	B	121.5 and 243.0 MHz			Captain SAR notes (121.5 MHz civil, 243.0 MHz military)	406 MHz not offered	When activated, an emergency locator transmitter (ELT) transmits on
178	ar-5	ar-5, ar-6, ar-8	VERIFIED	B	The elevation of the departure area			14 CFR 91.121(a)(1)(iii) (no setting available: departure airport elevation)	ICAO has no equivalent rule; FAA-origin question	If an altimeter setting is not available before flight, to which altitude should the pilot, adjust the altimeter?
179	ar-7	ar-9, ar-11	VERIFIED	C	Enough to fly to the first point of intented landing thence to alternate and to fly after that for 45 minutes			CAR Sec 8 Series O Pt III 2.2.3.6 b) (IFR with alternate: destination, then alternate, then 45 minutes)		What is the specific fuel requirement for flight under IFR at night for a propeller driven aircraft?
180	ar-10	ar-22, ar-25, ar-26	FLAGGED	D	May seriously impair judgment	D	May seriously impair judgment	FAA AIM 8-1 (OTC medications may impair judgment)	"aspirin may seriously impair judgment" overstates it; wording needs review	Taking simple medicine like ‘aspirin’ prior to a flight
181	ar-3	ar-3	VERIFIED	C	2,000 feet AGL			CAR Sec 9 Series C Pt I 3.1.7.1(d) (manoeuvre to be completed not less than 600 m / 2000 ft above ground)		What is lowest altitude permitted for acrobatic flight?
182	ar-9	ar-13	VERIFIED	C	8			Aircraft (Public Health) Rules 1954 r.2(15) (relapsing fever 8 days)		The incubation period of relapsing fever is______ .days:
183	ar-9	ar-13	VERIFIED	A	6			Aircraft (Public Health) Rules 1954 r.2(15) (yellow fever 6 days)		Incubation period of yellow fever is _______ days:
184	ar-10	ar-22, ar-25, ar-26	VERIFIED	A	A state of oxygen deficiency in the body			HPL textbook (hypoxia = oxygen deficiency)		Which statement best defines hypoxia?
185	ar-10	ar-22, ar-25, ar-26	VERIFIED	A	hyperventilation			FAA AIM 8-1 (hyperventilation)		Rapid or extra deep breathing while using oxygen can cause a condition known as
186	ar-10	ar-22, ar-25, ar-26	VERIFIED	A	Emotional tension, anxiety, or fear			FAA AIM 8-1 (emotional tension, anxiety or fear)		Which would most likely result in hyperventilation?
187	ar-10	ar-22, ar-25, ar-26	VERIFIED	B	body signals are used to interpret flight attitude			FAA AIM 8-1 (spatial disorientation)		Pilots are more subject to spatial disorientation if
188	ar-10	ar-22, ar-25, ar-26	VERIFIED	A	rely upon the aircraft instrument indications			FAA AIM 8-1 (rely on instruments)		If a pilot experiences spatial disorientation during flight in a restricted visibility condition, the best way to overcome the effect is to
189	ar-10	ar-22, ar-25, ar-26	VERIFIED	A	spatial disorientation			FAA AIM 8-1		A state of temporary confusion resulting from misleading information being sent to the brain by various sensory organs is defined as
190	ar-10	ar-22, ar-25, ar-26	VERIFIED	B	having faith in the instruments rather than taking a chance on the sensory organs			FAA AIM 8-1		The danger of spatial disorientation during flight in poor visual conditions may be reduced by
191	ar-10	ar-22, ar-25, ar-26	VERIFIED	A	Systematically focus on different segments of the sky for short intervals			FAA AIM 8-1-6 (series of short regularly spaced eye movements)		Which technique should a pilot use to scan for traffic to the right and left during straight-and -level flight?
192	ar-10	ar-22, ar-25, ar-26	VERIFIED	C	All traffic or terrain features appear to be farther away than their actual distance			FAA AIM 8-1 (haze: illusion of greater distance)		What effect does haze have on the ability to see traffic or terrain features during flight?
193	ar-10	ar-22, ar-25, ar-26	VERIFIED	C	Avoid bright white lights at least 30 minutes before the flight			FAA AIM 8-1 (30 min darkness for full dark adaptation)		What preparation should a pilot make to adapt the eyes for night flying?
194	ar-10	ar-22, ar-25, ar-26	VERIFIED	B	Scan slowly to permit off center viewing			HPL textbook night vision		What is the most effective way to use the eyes during night flight?
195	ar-10	ar-22, ar-25, ar-26	VERIFIED	A	Look to the side of the object and scan slowly			HPL textbook night vision		The best method to use when looking for other traffic at night is to
196	ar-10	ar-22, ar-25, ar-26	VERIFIED	D	lack of oxygen in blood stream			FAA AIM 8-1 (CO reduces oxygen-carrying capacity)		Large accumulations of carbon monoxide in the human body result in
197	ar-10	ar-22, ar-25, ar-26	VERIFIED	A	altitude increases			FAA AIM 8-1		Susceptibility to carbon monoxide poisoning increases as
198	ar-10	ar-22, ar-25, ar-26	VERIFIED	A	Continual flight into instrument conditions			FAA AIM 8-1 (VFR into IMC)		What often leads to spatial disorientation or collision with ground/obstacles when flying under Visual Flight Rules (VFR)?
199	ar-10	ar-22, ar-25, ar-26	VERIFIED	C	Human error			HPL textbook (approx. 73% of accidents human factors)		What is the one common factor which affects most preventable accidents?
