"Chapter","No","Question","A","B","C","D","Correct","Status","Verification / Note"
"met-20 General Circulation","17","The systems like highs, lows, cyclonic circulation etc are associated with distinct types of weather. A study of the behaviour of these systems, known as","Synoptic Meteorology","Climatology","Physical Meteorology","","A) Synoptic Meteorology","VERIFIED","Study of behaviour of weather systems on synoptic charts is synoptic meteorology."
"met-20 General Circulation","18","Rising air creates calms or doldrums in the equatorial region.","ITCZ","Horse Latitudes","Equatorial Doldrums","","C) Equatorial Doldrums","VERIFIED","Rising air and light winds along the equatorial low form the equatorial doldrums."
"met-20 General Circulation","19","Steady NE winds in the N hemisphere and SE winds in the S hemisphere are called.","Easterly winds","Trade Winds","Tropical Winds","","B) Trade Winds","TEXT-FIX","NE/SE steady equatorward surface winds are the trade winds; removed appended cross-chapter heading text from option 3."
"met-20 General Circulation","20","For nonscheduled National Flights an advance notice (before ETD) is required to be given to AMOs","3 hr","18-24 hr","6 hr","","A) 3 hr","TEXT-FIX","Advance notice to an Aerodrome Met Office for a non-scheduled national flight is 3 hours; fixed garbled '1824 hr' to '18-24 hr'."
"met-20 General Circulation","21","For nonscheduled National Flights an advance notice (before ETD) is required to be given to AMSs","3 hr","18-24 hr","6 hr","","C) 6 hr","TEXT-FIX","Advance notice to an Aeronautical Met Station for a non-scheduled national flight is 6 hours; fixed garbled '1824 hr' to '18-24 hr'."
"met-20 General Circulation","22","WAFS (World Area Forecast System) provides high quality enroute forecasts of …... to Met Offices","winds and temperature","SIGMET","TREND","","A) winds and temperature","TEXT-FIX","WAFS supplies gridded en-route upper winds and temperature forecasts; repaired duplicated/garbled option-1 text."
"met-20 General Circulation","25","In AIREP the Met Information is contained in Section","1","2","3","","C) 3","VERIFIED","In an AIREP the meteorological data is carried in Section 3."
"met-20 General Circulation","26","Local Forecast covers an area","50 NM","100 NM","150 NM","","A) 50 NM","VERIFIED","A local forecast covers the aerodrome vicinity within about 50 NM."
"met-20 General Circulation","28","Airfield warning is issued for expected wind speed","30 kt","24 kt","15 kt","","A) 30 kt","VERIFIED","An aerodrome (airfield) warning for strong surface wind is issued at a threshold of about 30 kt."
"met-20 General Circulation","31","Wind Shear Warning is issued for the observed or expected wind shear above runway","up to 500 m","above 500 m","300 m","","A) up to 500 m","VERIFIED","Wind shear warnings cover shear in the layer from the runway up to about 500 m (approach/climb-out)."
"met-20 General Circulation","32","VOLMET Radio Telephony Broadcast made on HF Channel from","Mumbai only","Kolkata only","both","","C) both","VERIFIED","HF VOLMET broadcasts in the region are made from both Mumbai and Kolkata."
"met-20 General Circulation","33","SIG Weather Charts are issued .... times a day","Two","Three","Four","","C) Four","TEXT-FIX","Global significant-weather charts are issued four times a day; removed appended stray station-model reference text from option 3."
"met-21 Meteorological Services","1","For non-scheduled National Flights, advance notice (before ETD) is required to be given to AMOs","24 hr","18 hr","6 hr","","C) 6 hr","VERIFIED","Non-scheduled national flights require 6 hr advance notice to Aerodrome Met Offices."
"met-21 Meteorological Services","2","For non-scheduled National Flights, advance notice to AMSs is required","3 hr","18–24 hr","6 hr","","B) 18–24 hr","VERIFIED","Aeronautical Met Stations need longer lead time (18–24 hr) for non-scheduled national flights."
"met-21 Meteorological Services","3","WAFS provides high quality en-route forecasts of winds and temperature to Met Offices","high-quality en-route forecasts","SIGMET","TREND","","A) high-quality en-route forecasts","VERIFIED","WAFS provides high-quality en-route wind and temperature forecasts."
"met-21 Meteorological Services","4","IMD has ……… Regional Met offices","4","5","6","","C) 6","VERIFIED","The national met department operates 6 Regional Meteorological Centres."
"met-21 Meteorological Services","7","In AIREP, Met Information is contained in Section","1","2","3","","C) 3","VERIFIED","In an air-report the meteorological data is carried in Section 3."
"met-21 Meteorological Services","8","TAF are generally valid for","18 hr","12 hr","30 hr","","C) 30 hr","VERIFIED","Aerodrome forecasts at major airports are commonly issued with a 30 hr validity."
"met-21 Meteorological Services","9","The validity of Landing Forecast (TREND) is","1 hr","2 hr","3 hr","","B) 2 hr","VERIFIED","A trend-type landing forecast is valid for 2 hours from time of observation."
"met-21 Meteorological Services","11","Local/Area Forecast is issued three times a day valid for next","18 hr","12 hr","9 hr","","B) 12 hr","VERIFIED","Issued three times daily, each local/area forecast is valid for 12 hours."
"met-21 Meteorological Services","12","Area Forecast covers an area","100 NM","100 km","50 NM","","A) 100 NM","VERIFIED","Area forecast covers a radius of about 100 nautical miles."
"met-21 Meteorological Services","13","SIGMET is a notice of severe weather for","actual","expected","both","","C) both","VERIFIED","SIGMET warns of phenomena occurring or expected to occur (both)."
"met-21 Meteorological Services","14","SIGMET is issued for aircraft","in flight","on ground","both","","A) in flight","VERIFIED","SIGMET is a warning intended for aircraft in flight."
"met-21 Meteorological Services","15","SIGMET is issued by","WAFC","AMO","MWO","","C) MWO","VERIFIED","SIGMET is issued by the Meteorological Watch Office."
"met-21 Meteorological Services","16","SIGMET is valid for","4 hr","8 hr","9 hr","","A) 4 hr","VERIFIED","Standard SIGMET validity is 4 hours (6 hr for volcanic ash / tropical cyclone)."
"met-21 Meteorological Services","17","SIGMET is not issued for","Rain","Volcanic Ash","SEV Icing","","A) Rain","VERIFIED","Ordinary rain is not a SIGMET phenomenon; volcanic ash and severe icing are."
"met-21 Meteorological Services","18","AIRMET is SIGMET issued by a MWO for the safety of","low-level aircraft","high-level flights","all","","A) low-level aircraft","VERIFIED","AIRMET concerns weather affecting low-level aircraft operations."
"met-21 Meteorological Services","19","GAMET is an area forecast in abbreviated plain language for","low level flights","high level flights","all level flights","","A) low level flights","VERIFIED","GAMET is an area forecast in abbreviated plain language for low-level flights."
"met-21 Meteorological Services","21","Wind Shear Warning is issued for observed or expected wind shear above runway (up to)","up to 500 m","above 500 m","300 m","","A) up to 500 m","VERIFIED","Wind shear warnings cover the layer between runway level and 500 m above it."
"met-21 Meteorological Services","22","VOLMET is a MET information for aircraft","on ground","in flight","both","","B) in flight","VERIFIED","VOLMET is a broadcast of met information for aircraft in flight."
"met-21 Meteorological Services","23","VOLMET consists of","SIGMET only","TAF only","TAF and METAR","","C) TAF and METAR","VERIFIED","VOLMET broadcasts comprise METAR and TAF (and SIGMET where applicable)."
"met-21 Meteorological Services","24","Global SIGWX Charts are issued ……… times a day","Two","Three","Four","","C) Four","VERIFIED","Global significant weather charts are issued four times daily."
"met-21 Meteorological Services","25","Global SIGWX Charts for Medium-level are issued for Flight Levels","150 & 200","100 & 250","100 & 150","","B) 100 & 250","VERIFIED","Medium-level SIGWX charts cover the FL100 to FL250 layer."
"met-21 Meteorological Services","26","Individual TS which cover less than 50% area is termed as","ISOL TS","FRQ TS","OCNL TS","","A) ISOL TS","VERIFIED","Isolated (ISOL) denotes individual thunderstorms covering less than 50% of the area."
"met-21 Meteorological Services","27","If TS cells have no separation between adjacent TS and cover an area more than 75%, it is termed as","FRQ","ISOL","OCNL","","A) FRQ","VERIFIED","Frequent (FRQ) means thunderstorms with little/no separation covering more than 75% of the area."
"met-22 Weather Radar & Satellites","1","PPI scope provides","Plan view of echoes — bearing and range","Height of echoes","Intensity of echoes","","A) Plan view of echoes — bearing and range","VERIFIED","Plan Position Indicator shows a plan view giving bearing and range of echoes."
"met-22 Weather Radar & Satellites","2","RHI scope enables direct reading of","Speed of echoes","Range of echoes","Altitude of CB cells","","C) Altitude of CB cells","VERIFIED","Range Height Indicator gives the height/altitude of cloud cells."
"met-22 Weather Radar & Satellites","3","S band radar is used for","Detection of clouds","Storm detection","Cyclone detection and tracking (rain, precipitation, cyclones)","","C) Cyclone detection and tracking (rain, precipitation, cyclones)","VERIFIED","S band (10 cm) penetrates precipitation and is used for cyclone detection and tracking."
"met-22 Weather Radar & Satellites","4","Quantitative Radar measures rate of precipitation using wavelength","5.0 cm","10.0 cm","3.2 cm","","B) 10.0 cm","VERIFIED","Quantitative rainfall-rate measurement uses 10 cm to avoid attenuation errors."
"met-22 Weather Radar & Satellites","5","DWR detects if targets are moving towards or away by measuring","Amplitude of return signal","Change of frequency of return signal","Time delay of return signal","","B) Change of frequency of return signal","VERIFIED","Doppler radar senses motion via the frequency shift of the return signal."
"met-22 Weather Radar & Satellites","6","Bright Band is an indicator of","Strong/severe storm","CB cloud","Weak storm","","C) Weak storm","VERIFIED","The bright band marks the melting layer in stratiform (weak, steady) precipitation."
"met-22 Weather Radar & Satellites","7","A figure '6' echo is an indication of","Hailstorm","Tornado","Severe turbulence","","B) Tornado","VERIFIED","The figure-6 (hook) echo is a classic radar signature of a tornado."
"met-22 Weather Radar & Satellites","8","Spiral bands on radar indicate","Severe TS","Tropical Cyclone","Hailstorm","","B) Tropical Cyclone","VERIFIED","Spiral rain bands are the characteristic radar signature of a tropical cyclone."
"met-22 Weather Radar & Satellites","9","On airborne weather radar, Red/Magenta colour indicates","Light precipitation","Moderate precipitation","Heavy precipitation, TS, severe turbulence — AVOID","","C) Heavy precipitation, TS, severe turbulence — AVOID","VERIFIED","Red/magenta denotes the heaviest returns; areas to be avoided."
"met-22 Weather Radar & Satellites","10","Geostationary satellites are placed at an altitude of approximately","650–1500 km","36,000 km","500 km","","B) 36,000 km","VERIFIED","Geostationary orbit altitude is about 35,800 km (~36,000 km)."
"met-22 Weather Radar & Satellites","11","How many geostationary satellites are needed to cover the entire globe?","3","4","5","","A) 3","CORRECTED","Three geostationary satellites spaced 120° apart cover the globe except the poles."
"met-22 Weather Radar & Satellites","12","Kalpana-1 satellite is located at","74°E","93.5°E","82°E","","A) 74°E","VERIFIED","Kalpana-1 was stationed at 74°E over the Indian region."
"met-22 Weather Radar & Satellites","13","In IR satellite imagery, the lowest temperatures appear","Black","Dark grey","White (brightest)","","C) White (brightest)","VERIFIED","In IR imagery coldest (highest) cloud tops are rendered whitest/brightest."
"met-22 Weather Radar & Satellites","14","Drizzle does not show up on radar because radar returns are proportional to","Square of droplet diameter","Fourth power of droplet diameter","Sixth power of droplet diameter","","C) Sixth power of droplet diameter","VERIFIED","Rayleigh reflectivity varies with the sixth power of drop diameter, so tiny drizzle drops return negligibly."
"met-22 Weather Radar & Satellites","15","INSAT-3D was launched from","Sriharikota","Baikonur","French Guiana Space Centre","","C) French Guiana Space Centre","VERIFIED","INSAT-3D was launched on an Ariane-5 from the French Guiana Space Centre, Kourou."
"met-23 Meteorological Instruments","1","Pressure is measured in units of","Knots","Hectopascal (hPa) or Millibar (mb)","Percentage (%)","","B) Hectopascal (hPa) or Millibar (mb)","VERIFIED","Atmospheric pressure is expressed in hectopascals (equal to millibars)."
"met-23 Meteorological Instruments","2","Minimum temperature is measured by","Mercury thermometer","Alcohol thermometer","Aneroid thermometer","","B) Alcohol thermometer","VERIFIED","Minimum thermometer uses spirit (alcohol) with an index that records the lowest reading."
"met-23 Meteorological Instruments","3","Relative Humidity is measured by","Barograph","Hygrometer / Psychrometer","Anemometer","","B) Hygrometer / Psychrometer","VERIFIED","Humidity is measured with a hygrometer/wet-and-dry-bulb psychrometer."
"met-23 Meteorological Instruments","4","Cloud base is measured by","Hygrograph","Ceilometer / Ceilograph / Ceiling Balloon","Anemograph","","B) Ceilometer / Ceilograph / Ceiling Balloon","VERIFIED","Cloud base/ceiling is measured by ceilometer, ceilograph or ceiling balloon."
"met-23 Meteorological Instruments","5","Upper air pressure, temperature and humidity are measured by","Optical Theodolite","Radiosonde / Dropsonde","AVRA","","B) Radiosonde / Dropsonde","VERIFIED","A balloon-borne radiosonde measures upper-air pressure, temperature and humidity."
"met-23 Meteorological Instruments","6","Upper winds are measured by","Radiosonde","Radar Wind (RAWIN) / Optical Theodolite / Pilot Balloon","Ceilometer","","B) Radar Wind (RAWIN) / Optical Theodolite / Pilot Balloon","VERIFIED","Upper winds are found by tracking a pilot balloon with theodolite or radar (RAWIN)."
"met-23 Meteorological Instruments","7","Visibility / RVR is measured by","Wind Vane","Transmissometer / Scopograph / Forward Scatterometer","Nephroscope","","B) Transmissometer / Scopograph / Forward Scatterometer","VERIFIED","RVR/visibility is measured by transmissometer or forward-scatter sensor."
"met-23 Meteorological Instruments","8","Surface wind direction is reported from True North in which direction?","Anticlockwise","Clockwise","From South","","B) Clockwise","VERIFIED","Wind direction is measured clockwise from True North (degrees)."
"met-23 Meteorological Instruments","9","Humidity Mixing Ratio is measured in","%","gm/kg","hPa","","B) gm/kg","VERIFIED","Mixing ratio is grams of water vapour per kilogram of dry air."
"met-23 Meteorological Instruments","10","Dropsonde is used in","Mountain areas","Cyclones (dropped from aircraft)","Upper atmosphere research","","B) Cyclones (dropped from aircraft)","VERIFIED","A dropsonde is released from an aircraft to profile cyclones/data-sparse seas."
"met-24 Station Model","12","Pressure change of 1.4 hPa is in","6 hr","3 hr","24 hr","","B) 3 hr","VERIFIED","Pressure tendency (appp) group always covers the 3 hours preceding the observation."
"met-24 Station Model","15","Rainfall reported is from","0300Z yesterday to 0300Z today","0100 to 2400Z today","0530 to 0830 IST","","A) 0300Z yesterday to 0300Z today","VERIFIED","At the 0300 UTC main synoptic hour the rainfall group reports the past 24-hour total, i.e. 0300Z previous day to 0300Z current day."
"met-25 METAR / SPECI / TREND","13","The landing forecast appended to any METAR is valid for","1 hr","2 hr","3 hr","","B) 2 hr","VERIFIED","A TREND (landing) forecast attached to a METAR/SPECI is valid for 2 hours from the report time."
"met-25 METAR / SPECI / TREND","15","The difference between TT and TdTd is 3°C. The atmosphere is","Very Dry","Moist","Saturated","","B) Moist","VERIFIED","A small temperature/dew-point spread (about 3°C) indicates near-saturated, moist air; 0°C spread would be saturated."
"met-25 METAR / SPECI / TREND","17","Range of pressure as Q1003 is","1002.5 to 1003.5 hPa","1003.0 to 1003.5 hPa","1003.0 to 1003.9 hPa","","C) 1003.0 to 1003.9 hPa","VERIFIED","QNH is rounded down to the whole hPa, so Q1003 covers 1003.0 to 1003.9 hPa."
"met-25 METAR / SPECI / TREND","18","Temperature reported as 32°C is","31.4 to 32.3°C","32.1 to 32.4°C","31.5 to 32.4°C","","C) 31.5 to 32.4°C","VERIFIED","Temperature is rounded to the nearest whole degree, so 32 represents 31.5 to 32.4°C."
"met-25 METAR / SPECI / TREND","19","Visibility is reported in steps of 50 m when visibility is","800 m to 5000 m","0 to 800 m","5000 m to 10 km","","B) 0 to 800 m","VERIFIED","Visibility is coded in 50 m steps from 0 up to 800 m."
"met-25 METAR / SPECI / TREND","20","Visibility reported in steps of 100 m when visibility is","800 m to 5000 m","0 to 800 m","5000 m to 10 km","","A) 800 m to 5000 m","VERIFIED","Visibility is coded in 100 m steps between 800 m and 5000 m."
"met-25 METAR / SPECI / TREND","21","Visibility reported in steps of 1000 m when visibility is","800 to 5000 m","0 to 800 m","5000 m to 9999","","C) 5000 m to 9999","VERIFIED","Visibility is coded in 1000 m steps from 5000 m up to 9999."
"met-25 METAR / SPECI / TREND","22","Visibility reported 9999 when visibility is","800 to 5000 m","9000 to 9999 m","10 km or more","","C) 10 km or more","VERIFIED","The code 9999 is used when visibility is 10 km or more."
"met-25 METAR / SPECI / TREND","23","Temperature +2.5°C is reported as","02","03","2.5°C","","B) 03","VERIFIED","Half-degree rounds up, so +2.5°C is reported as 03."
"met-25 METAR / SPECI / TREND","24","Temperature −12.5°C is reported as","−12","−13","M 12","","C) M 12","VERIFIED","Negative temperatures use the M prefix; −12.5°C rounds to M12, and only the M-form is the valid METAR notation."
"met-25 METAR / SPECI / TREND","25","Pressure rounded to nearest whole number in hectopascal","exact value","upper value","lower value","","C) lower value","VERIFIED","QNH in the pressure group is always rounded down to the next lower whole hPa."
"met-25 METAR / SPECI / TREND","26","QNH 1002.6 hPa is reported as","Q1002","Q1003","Q1002.6","","A) Q1002","VERIFIED","QNH is rounded down to the whole hPa, so 1002.6 becomes Q1002."
"met-25 METAR / SPECI / TREND","27","QNH 29.92 inches is reported as","Q2900","A2992","A 3000","","B) A2992","VERIFIED","Altimeter setting in inches uses the A prefix with hundredths, so 29.92 in is A2992."
"met-25 METAR / SPECI / TREND","28","Fog is reported when visibility is","<1000 m","1000 m",">1000 m","","A) <1000 m","VERIFIED","Fog (FG) is reported when visibility is less than 1000 m."
"met-25 METAR / SPECI / TREND","29","Mist is reported when visibility is","<1000 m to 2000 m","1000 to 5000 m",">1000 m","","B) 1000 to 5000 m","VERIFIED","Mist (BR) is reported when visibility is between 1000 m and 5000 m."
"met-25 METAR / SPECI / TREND","30","CAVOK signifies Visibility, Cloud… and present weather better than the prescribed values or conditions","ceiling","base","amount","","A) ceiling","VERIFIED","CAVOK stands for Ceiling And Visibility OK; the cloud element referred to is the ceiling."
"met-25 METAR / SPECI / TREND","31","CAVOK is issued when visibility is","9–10 km","10 km or more","10 km only","","B) 10 km or more","VERIFIED","CAVOK requires visibility of 10 km or more."
"met-25 METAR / SPECI / TREND","32","CAVOK is issued when: (i) Vis 10 km or more; (ii) No cloud below 1500m or below highest MSA; (iii) No CB.","Any one condition","Any two conditions","All the three conditions","","C) All the three conditions","VERIFIED","CAVOK is used only when all three conditions (visibility, no low cloud, no CB/TCU and no significant weather) are met."
"met-25 METAR / SPECI / TREND","33","SPECI is issued when","Any one /","Any two /","All three","","A) Any one /","VERIFIED","A SPECI is issued as soon as any single reporting criterion for change is met."
"met-25 METAR / SPECI / TREND","35","SPECI is issued for vertical visibility, by stations having Ceilograph, when sky is obscured","True","False","","","A) True","VERIFIED","Stations equipped to measure vertical visibility issue SPECI for changes in VV when the sky is obscured."
"met-25 METAR / SPECI / TREND","37","WSRWY28 indicates that the wind shear has been reported for","take off path","approach path","both take off and approach paths","","C) both take off and approach paths","VERIFIED","WS RWY28 denotes wind shear along runway 28, covering both the take-off and approach paths of that runway."
"met-25 METAR / SPECI / TREND","38","R26/M0150 in a METAR indicates that","maximum RVR is 150 m","minimum RVR is 150 m","150 m is the lowest RVR instrument can measure and RVR < 150 m","","C) 150 m is the lowest RVR instrument can measure and RVR < 150 m","VERIFIED","Prefix M means 'less than'; 150 m is the lowest value the RVR instrument can assess, so actual RVR is below 150 m on runway 26."
"met-26 TAF / ARFOR / ROFOR","12","Group 1500/1509 in a TAF indicates","TAF issued on 15th at 0000 UTC","TAF is valid from 15th 0000 to 0900 UTC","TAF is valid from 1500 to 0900 UTC","","B) TAF is valid from 15th 0000 to 0900 UTC","VERIFIED","Validity group DDHH/DDHH: valid day 15 0000 UTC to 0900 UTC."
"met-26 TAF / ARFOR / ROFOR","13","What is true of a TAF?","9 hr TAF for international dissemination","TAF valid for 9 hr is issued every 6 hr","TAF valid for 12–30 hr is issued every 3 hr","TAF for national use valid for 9 hr and issued every 3 hr","D) TAF for national use valid for 9 hr and issued every 3 hr","VERIFIED","National TAF is valid 9 hr and issued at 3-hourly intervals."
"met-26 TAF / ARFOR / ROFOR","16","Wind speed in ROFOR is in","KT","MPS","KMH","","A) KT","VERIFIED","Upper-wind speeds in Indian ROFOR are encoded in knots."
"met-28 Met Documentation & Briefing","1","Who prepares National SIGWX Charts?","AMOs","WAFC","MWOs","","C) MWOs","VERIFIED","National (low-level) significant weather charts are prepared by the national Meteorological Watch Offices; WAFC handles global high-level charts."
"met-28 Met Documentation & Briefing","2","Flight Level of freezing Level is included in ………… SIGWX Charts.","Medium level charts","High level charts","Low level charts","","C) Low level charts","CORRECTED","The 0°C freezing level is depicted on low-level significant weather charts, which serve flights below the mid/high-level regime."
"met-28 Met Documentation & Briefing","3","Fog, Precipitation and weather which reduce visibility below 5000 m is considered Significant weather for","All level flights","High level flights","Low level flights","","C) Low level flights","VERIFIED","Visibility below 5000 m from fog/precipitation is significant weather relevant to low-level flight operations."
"met-28 Met Documentation & Briefing","4","Briefing and Consultation are generally provided to aircrew ……… hours prior to the scheduled departure.","3 hr","5 hr","6 hr","","A) 3 hr","VERIFIED","Standard pre-flight briefing/consultation is provided up to about 3 hours before scheduled departure."
"met-28 Met Documentation & Briefing","5","SIGMET information is provided to","Low level flights","All level flights","High level flights","","B) All level flights","VERIFIED","SIGMET warns of en-route hazardous phenomena at all levels and is issued to flights at all levels."
"met-28 Met Documentation & Briefing","6","For Low Level flights, and those under Visual Flight Rules, briefing is given up to","FL150 or above in mountains","FL110 above the sea","FL120 or above the plains","","A) FL150 or above in mountains","VERIFIED","Low-level/VFR briefing extends up to FL100, and up to FL150 (or higher) in mountainous terrain."
"met-28 Met Documentation & Briefing","7","The height indications in Flight Documentation in all en-route Met conditions","Above aerodrome elevation","Flight Levels","As requested by the Pilot","","B) Flight Levels","VERIFIED","En-route meteorological conditions in flight documentation are expressed in Flight Levels."
"met-28 Met Documentation & Briefing","8","The height indications in Flight Documentation in all aerodrome Met conditions","Above aerodrome elevation","Flight Levels","As requested by the Pilot","","A) Above aerodrome elevation","VERIFIED","Aerodrome meteorological conditions are given as heights above aerodrome elevation."
"met-28 Met Documentation & Briefing","9","For National Flights the Documents provided are","National SIGWX charts only","WAFC upper wind and temp. charts only","Both WAFC upper wind and temp. charts and National SIGWX charts","","C) Both WAFC upper wind and temp. charts and National SIGWX charts","VERIFIED","National flight documentation supplies both WAFC upper-wind/temperature charts and national SIGWX charts."
"met-28 Met Documentation & Briefing","10","For National Flights the winds and temperatures are provided for LL Flights for altitudes","600, 1500 and 3000 m","3000 ft, 5000 ft, 10,000 ft","600, 1000 and 500 m","","A) 600, 1500 and 3000 m","TEXT-FIX","Low-level upper-wind/temperature data are provided at the standard 600, 1500 and 3000 m altitudes (garbled '300 m' repaired to '3000 m')."
